Episode no = 450; won: True; Q(s,a) = 423.25951386458087; reward = 92.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:36
Episode no = 460; won: True; Q(s,a) = 368.33369650554823; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:37
Episode no = 470; won: True; Q(s,a) = 369.62875635859314; reward = 82.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:37
Episode no = 480; won: True; Q(s,a) = 364.5395374125755; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:38
Episode no = 490; won: True; Q(s,a) = 436.9013436207014; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:38
Episode no = 500; won: True; Q(s,a) = 425.2231179096348; reward = 92.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:39
Episode no = 510; won: True; Q(s,a) = 468.8301101785106; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:39
Episode no = 520; won: True; Q(s,a) = 475.3106115571918; reward = 82.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:40
Episode no = 530; won: True; Q(s,a) = 366.5197919170971; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:40
Episode no = 540; won: True; Q(s,a) = 474.8760872757054; reward = 82.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:41
Episode no = 550; won: True; Q(s,a) = 476.2799653821267; reward = 82.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:41
Episode no = 560; won: True; Q(s,a) = 440.41497668962904; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:41
Episode no = 570; won: True; Q(s,a) = 474.80592005582247; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:42
Episode no = 580; won: True; Q(s,a) = 439.3757782987627; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:42
Episode no = 590; won: True; Q(s,a) = 476.90624139145683; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:43
Episode no = 600; won: True; Q(s,a) = 475.9507571093835; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:43
Episode no = 610; won: True; Q(s,a) = 468.15049572950574; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:44
Episode no = 620; won: True; Q(s,a) = 369.86776540166863; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:44
Episode no = 630; won: True; Q(s,a) = 411.3793111440789; reward = 93.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:44
Episode no = 640; won: True; Q(s,a) = 474.6197249445777; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:45
Episode no = 650; won: True; Q(s,a) = 367.7802911727398; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:45
Episode no = 660; won: True; Q(s,a) = 432.904001430749; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:46
Episode no = 670; won: True; Q(s,a) = 430.56278685220377; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:46
Episode no = 680; won: True; Q(s,a) = 370.0083541477376; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:47
Episode no = 690; won: True; Q(s,a) = 469.781879628926; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:47
Episode no = 700; won: True; Q(s,a) = 368.673898528486; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:47
Episode no = 710; won: True; Q(s,a) = 415.42748743089084; reward = 93.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:48
Episode no = 720; won: True; Q(s,a) = 469.45383856560545; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:48
Episode no = 730; won: True; Q(s,a) = 413.44108224527196; reward = 93.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:49
Episode no = 740; won: True; Q(s,a) = 387.68570367568026; reward = 90.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:49
Episode no = 750; won: True; Q(s,a) = 387.18818221830065; reward = 90.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:50
Episode no = 760; won: True; Q(s,a) = 427.49483990989484; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:50
Episode no = 770; won: True; Q(s,a) = 429.00287989354797; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:50
Episode no = 780; won: True; Q(s,a) = 466.1572302248204; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:51
Episode no = 790; won: True; Q(s,a) = 359.88000738566365; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:51
Episode no = 800; won: True; Q(s,a) = 366.7541901540918; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:52
Episode no = 810; won: True; Q(s,a) = 363.71217100569356; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:52
Episode no = 820; won: True; Q(s,a) = 423.554195985465; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:53
Episode no = 830; won: True; Q(s,a) = 383.5194912432072; reward = 90.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:53
Episode no = 840; won: True; Q(s,a) = 455.05041768967874; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:53
Episode no = 850; won: True; Q(s,a) = 417.85225256529384; reward = 93.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:54
Episode no = 860; won: True; Q(s,a) = 422.5749458465292; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:54
Episode no = 870; won: True; Q(s,a) = 360.9912127690926; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:55
Episode no = 880; won: True; Q(s,a) = 456.5205054286282; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:55
Episode no = 890; won: True; Q(s,a) = 424.5263544855733; reward = 91.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:56
